Index,Time,Temperature
0, 2018-02-28  00:09:58-05:00 ,31.3
1, 2018-02-28  00:20:00-05:00 ,31.3
2, 2018-02-28  00:30:01-05:00 ,31.3
3, 2018-02-28  00:40:03-05:00 ,31.3
4, 2018-02-28  00:50:05-05:00 ,31.2
5, 2018-02-28  01:00:07-05:00 ,31.1
6, 2018-02-28  01:10:08-05:00 ,31.2
7, 2018-02-28  01:20:10-05:00 ,31.1
8, 2018-02-28  01:30:12-05:00 ,31.1
9, 2018-02-28  01:40:14-05:00 ,31.1
10, 2018-02-28  01:50:15-05:00 ,31
11, 2018-02-28  02:00:17-05:00 ,30.9
12, 2018-02-28  02:10:19-05:00 ,30.9
13, 2018-02-28  02:20:21-05:00 ,30.9
14, 2018-02-28  02:30:22-05:00 ,30.8
15, 2018-02-28  02:40:24-05:00 ,30.8
16, 2018-02-28  02:50:26-05:00 ,30.8
17, 2018-02-28  03:00:28-05:00 ,30.7
18, 2018-02-28  03:10:29-05:00 ,30.7
19, 2018-02-28  03:20:31-05:00 ,30.6
20, 2018-02-28  03:30:33-05:00 ,30.6
21, 2018-02-28  03:40:35-05:00 ,30.6
22, 2018-02-28  03:50:37-05:00 ,30.6
23, 2018-02-28  04:00:38-05:00 ,30.6
24, 2018-02-28  04:10:40-05:00 ,30.6
25, 2018-02-28  04:20:42-05:00 ,30.5
26, 2018-02-28  04:30:44-05:00 ,30.4
27, 2018-02-28  04:40:45-05:00 ,30.4
28, 2018-02-28  04:50:47-05:00 ,30.4
29, 2018-02-28  05:00:49-05:00 ,30.3
30, 2018-02-28  05:10:51-05:00 ,30.3
31, 2018-02-28  05:20:52-05:00 ,30.3
32, 2018-02-28  05:30:54-05:00 ,30.2
33, 2018-02-28  05:40:56-05:00 ,30.2
34, 2018-02-28  05:50:58-05:00 ,30.1
35, 2018-02-28  06:00:59-05:00 ,30
36, 2018-02-28  06:11:01-05:00 ,29.9
37, 2018-02-28  06:21:03-05:00 ,29.9
38, 2018-02-28  06:31:05-05:00 ,29.9
39, 2018-02-28  06:41:07-05:00 ,29.4
40, 2018-02-28  06:51:08-05:00 ,28.9
41, 2018-02-28  07:01:10-05:00 ,29.4
42, 2018-02-28  07:11:12-05:00 ,29
43, 2018-02-28  07:21:14-05:00 ,28.9
44, 2018-02-28  07:31:15-05:00 ,28.9
45, 2018-02-28  07:41:17-05:00 ,29.1
46, 2018-02-28  07:51:19-05:00 ,29.1
47, 2018-02-28  08:01:21-05:00 ,29
48, 2018-02-28  08:11:22-05:00 ,29.1
49, 2018-02-28  08:21:24-05:00 ,29.1
50, 2018-02-28  08:31:26-05:00 ,28.9
51, 2018-02-28  08:41:28-05:00 ,28.9
52, 2018-02-28  08:51:29-05:00 ,28.9
53, 2018-02-28  09:01:31-05:00 ,29
54, 2018-02-28  09:11:33-05:00 ,29.3
55, 2018-02-28  09:21:35-05:00 ,29.3
56, 2018-02-28  09:31:36-05:00 ,29.3
57, 2018-02-28  09:41:38-05:00 ,29.3
58, 2018-02-28  09:51:40-05:00 ,29.4
59, 2018-02-28  10:01:42-05:00 ,29.4
60, 2018-02-28  10:11:43-05:00 ,29.5
61, 2018-02-28  10:21:45-05:00 ,29.7
62, 2018-02-28  10:31:47-05:00 ,29.6
63, 2018-02-28  10:41:49-05:00 ,29.4
64, 2018-02-28  10:51:51-05:00 ,29.6
65, 2018-02-28  11:01:52-05:00 ,30
66, 2018-02-28  11:11:54-05:00 ,30
67, 2018-02-28  11:21:56-05:00 ,30.1
68, 2018-02-28  11:31:58-05:00 ,30.3
69, 2018-02-28  11:41:59-05:00 ,30.3
70, 2018-02-28  11:52:01-05:00 ,30.5
71, 2018-02-28  12:02:03-05:00 ,30.6
72, 2018-02-28  12:12:05-05:00 ,30.9
73, 2018-02-28  12:22:06-05:00 ,31
74, 2018-02-28  12:32:08-05:00 ,30.9
75, 2018-02-28  12:42:10-05:00 ,30.9
76, 2018-02-28  12:52:12-05:00 ,31
77, 2018-02-28  13:02:13-05:00 ,31.3
78, 2018-02-28  13:12:15-05:00 ,31.1
79, 2018-02-28  13:22:17-05:00 ,31.5
80, 2018-02-28  13:32:19-05:00 ,31.5
81, 2018-02-28  13:42:20-05:00 ,31.7
82, 2018-02-28  13:52:22-05:00 ,31.3
83, 2018-02-28  14:02:24-05:00 ,30.9
84, 2018-02-28  14:12:26-05:00 ,31.3
85, 2018-02-28  14:22:28-05:00 ,31.2
86, 2018-02-28  14:32:29-05:00 ,31.2
87, 2018-02-28  14:42:31-05:00 ,31.1
88, 2018-02-28  14:52:33-05:00 ,31.5
89, 2018-02-28  15:02:35-05:00 ,31.6
90, 2018-02-28  15:12:37-05:00 ,31.5
91, 2018-02-28  15:22:39-05:00 ,31.6
92, 2018-02-28  15:32:41-05:00 ,31.4
93, 2018-02-28  15:42:43-05:00 ,31.7
94, 2018-02-28  15:52:44-05:00 ,31.9
95, 2018-02-28  16:02:46-05:00 ,31.6
96, 2018-02-28  16:12:48-05:00 ,31.5
97, 2018-02-28  16:22:50-05:00 ,31.6
98, 2018-02-28  16:32:51-05:00 ,31.7
99, 2018-02-28  16:42:53-05:00 ,32.1
100, 2018-02-28  16:52:55-05:00 ,31.6
101, 2018-02-28  17:02:57-05:00 ,31.7
102, 2018-02-28  17:12:58-05:00 ,31.8
103, 2018-02-28  17:23:00-05:00 ,31.9
104, 2018-02-28  17:33:02-05:00 ,31.8
105, 2018-02-28  17:43:04-05:00 ,31.9
106, 2018-02-28  17:53:05-05:00 ,31
107, 2018-02-28  18:03:07-05:00 ,31.3
108, 2018-02-28  18:13:09-05:00 ,31.3
109, 2018-02-28  18:23:11-05:00 ,31.3
110, 2018-02-28  18:33:12-05:00 ,32.2
111, 2018-02-28  18:43:14-05:00 ,32.6
112, 2018-02-28  18:53:16-05:00 ,32.8
113, 2018-02-28  19:03:18-05:00 ,32.9
114, 2018-02-28  19:13:19-05:00 ,32.6
115, 2018-02-28  19:23:21-05:00 ,32.8
116, 2018-02-28  19:33:23-05:00 ,32.9
117, 2018-02-28  19:43:25-05:00 ,32.9
118, 2018-02-28  19:53:27-05:00 ,33
119, 2018-02-28  20:03:28-05:00 ,32.9
120, 2018-02-28  20:13:30-05:00 ,32.8
121, 2018-02-28  20:23:32-05:00 ,32.8
122, 2018-02-28  20:33:34-05:00 ,32.8
123, 2018-02-28  20:43:35-05:00 ,32.8
124, 2018-02-28  20:53:37-05:00 ,32.8
125, 2018-02-28  21:03:39-05:00 ,32.7
126, 2018-02-28  21:13:41-05:00 ,32.6
127, 2018-02-28  21:23:42-05:00 ,32.5
128, 2018-02-28  21:33:44-05:00 ,32.5
129, 2018-02-28  21:43:46-05:00 ,32.4
130, 2018-02-28  21:53:48-05:00 ,32.3
131, 2018-02-28  22:03:49-05:00 ,32.3
132, 2018-02-28  22:13:51-05:00 ,32.3
133, 2018-02-28  22:23:53-05:00 ,32.3
134, 2018-02-28  22:33:55-05:00 ,32.2
135, 2018-02-28  22:43:56-05:00 ,32.2
136, 2018-02-28  22:53:58-05:00 ,32.1
137, 2018-02-28  23:04:00-05:00 ,32.1
138, 2018-02-28  23:14:02-05:00 ,32.1
139, 2018-02-28  23:24:04-05:00 ,32
140, 2018-02-28  23:34:05-05:00 ,31.9
141, 2018-02-28  23:44:07-05:00 ,31.8
142, 2018-02-28  23:54:09-05:00 ,31.8
143, 2018-03-01  00:04:11-05:00 ,31.7
144, 2018-03-01  00:14:12-05:00 ,31.7
145, 2018-03-01  00:24:14-05:00 ,31.6
146, 2018-03-01  00:34:16-05:00 ,31.6
147, 2018-03-01  00:44:18-05:00 ,31.6
148, 2018-03-01  00:54:19-05:00 ,31.6
149, 2018-03-01  01:04:21-05:00 ,31.4
150, 2018-03-01  01:14:23-05:00 ,31.4
151, 2018-03-01  01:24:25-05:00 ,31.3
152, 2018-03-01  01:34:26-05:00 ,31.3
153, 2018-03-01  01:44:28-05:00 ,31.3
154, 2018-03-01  01:54:30-05:00 ,31.3
155, 2018-03-01  02:04:32-05:00 ,31.2
156, 2018-03-01  10:49:20-05:00 ,30.4
157, 2018-03-01  10:59:22-05:00 ,30.5
158, 2018-03-01  11:09:24-05:00 ,30.5
159, 2018-03-01  11:19:25-05:00 ,30.9
160, 2018-03-01  11:29:27-05:00 ,30.9
161, 2018-03-01  11:39:29-05:00 ,31
162, 2018-03-01  11:49:31-05:00 ,31
163, 2018-03-01  11:59:32-05:00 ,31.2
164, 2018-03-01  12:09:34-05:00 ,31.2
165, 2018-03-01  12:19:36-05:00 ,31.3
166, 2018-03-01  12:29:38-05:00 ,31.4
167, 2018-03-01  12:39:39-05:00 ,31.4
168, 2018-03-01  12:49:41-05:00 ,31.5
169, 2018-03-01  12:59:43-05:00 ,31.6
170, 2018-03-01  13:09:45-05:00 ,31.8
171, 2018-03-01  13:19:47-05:00 ,31.8
172, 2018-03-01  13:29:48-05:00 ,31.8
173, 2018-03-01  13:39:50-05:00 ,32.1
174, 2018-03-01  13:49:52-05:00 ,32.2
175, 2018-03-01  13:59:54-05:00 ,32.3
176, 2018-03-01  14:09:55-05:00 ,32.4
177, 2018-03-01  14:19:57-05:00 ,32.4
178, 2018-03-01  14:29:59-05:00 ,32.5
179, 2018-03-01  14:40:01-05:00 ,32.5
180, 2018-03-01  14:50:02-05:00 ,32.6
181, 2018-03-01  15:00:04-05:00 ,32.6
182, 2018-03-01  15:10:06-05:00 ,32.7
183, 2018-03-01  15:20:08-05:00 ,32.6
184, 2018-03-01  15:30:09-05:00 ,32.8
185, 2018-03-01  15:40:11-05:00 ,32.8
186, 2018-03-01  15:50:13-05:00 ,32.8
187, 2018-03-01  16:00:15-05:00 ,32.8
188, 2018-03-01  16:10:16-05:00 ,32.8
189, 2018-03-01  16:20:18-05:00 ,32.9
190, 2018-03-01  16:30:20-05:00 ,32.9
191, 2018-03-01  16:40:22-05:00 ,32.6
192, 2018-03-01  16:50:23-05:00 ,32.9
193, 2018-03-01  17:00:25-05:00 ,32.7
194, 2018-03-01  17:10:27-05:00 ,32.7
195, 2018-03-01  17:20:29-05:00 ,32.7
196, 2018-03-01  17:30:31-05:00 ,32.6
197, 2018-03-01  17:40:32-05:00 ,32.6
198, 2018-03-01  17:50:34-05:00 ,32.6
199, 2018-03-01  18:00:36-05:00 ,32.6
200, 2018-03-01  18:10:38-05:00 ,32.6
201, 2018-03-01  18:20:39-05:00 ,32.5
202, 2018-03-01  18:30:41-05:00 ,32.6
203, 2018-03-01  18:40:43-05:00 ,32.9
204, 2018-03-01  18:50:45-05:00 ,32.9
205, 2018-03-01  19:00:46-05:00 ,33.5
206, 2018-03-01  19:10:48-05:00 ,33.3
207, 2018-03-01  19:20:50-05:00 ,33.4
208, 2018-03-01  19:30:52-05:00 ,33.5
209, 2018-03-01  19:40:53-05:00 ,33.5
210, 2018-03-01  19:50:55-05:00 ,33.4
211, 2018-03-01  20:00:57-05:00 ,33.3
212, 2018-03-01  20:10:59-05:00 ,33.3
213, 2018-03-01  20:21:01-05:00 ,33.3
214, 2018-03-01  20:31:02-05:00 ,33.1
215, 2018-03-01  20:41:04-05:00 ,33.1
216, 2018-03-01  20:51:06-05:00 ,33.1
217, 2018-03-01  21:01:08-05:00 ,32.9
218, 2018-03-01  21:11:09-05:00 ,32.9
219, 2018-03-01  21:21:11-05:00 ,32.8
220, 2018-03-01  21:31:13-05:00 ,32.8
221, 2018-03-01  21:41:15-05:00 ,32.8
222, 2018-03-01  21:51:16-05:00 ,32.6
223, 2018-03-01  22:01:18-05:00 ,32.6
224, 2018-03-01  22:11:20-05:00 ,32.5
225, 2018-03-01  22:21:22-05:00 ,32.6
226, 2018-03-01  22:31:23-05:00 ,32.5
227, 2018-03-01  22:41:25-05:00 ,32.4
228, 2018-03-01  22:51:27-05:00 ,32.4
229, 2018-03-01  23:01:29-05:00 ,32.4
230, 2018-03-01  23:11:30-05:00 ,32.3
231, 2018-03-01  23:21:32-05:00 ,32.2
232, 2018-03-01  23:31:34-05:00 ,32.1
233, 2018-03-01  23:41:36-05:00 ,32.1
234, 2018-03-01  23:51:37-05:00 ,32.1
235, 2018-03-02  00:01:39-05:00 ,32
236, 2018-03-02  00:11:41-05:00 ,31.9
237, 2018-03-02  00:21:43-05:00 ,31.9
238, 2018-03-02  00:31:45-05:00 ,31.8
239, 2018-03-02  00:41:46-05:00 ,31.8
240, 2018-03-02  00:51:48-05:00 ,31.8
241, 2018-03-02  01:01:50-05:00 ,31.7
242, 2018-03-02  01:11:52-05:00 ,31.8
243, 2018-03-02  01:21:53-05:00 ,31.8
244, 2018-03-02  01:31:55-05:00 ,31.8
245, 2018-03-02  01:41:57-05:00 ,31.7
246, 2018-03-02  01:51:59-05:00 ,31.7
247, 2018-03-02  02:02:00-05:00 ,31.7
248, 2018-03-02  02:12:02-05:00 ,31.6
249, 2018-03-02  02:22:04-05:00 ,31.5
250, 2018-03-02  02:32:06-05:00 ,31.4
251, 2018-03-02  02:42:07-05:00 ,31.4
252, 2018-03-02  02:52:09-05:00 ,31.4
253, 2018-03-02  03:02:11-05:00 ,31.4
254, 2018-03-02  03:12:13-05:00 ,31.3
255, 2018-03-02  03:22:15-05:00 ,31.3
256, 2018-03-02  03:32:16-05:00 ,31.2
257, 2018-03-02  03:42:18-05:00 ,31.1
258, 2018-03-02  03:52:20-05:00 ,31.1
259, 2018-03-02  04:02:22-05:00 ,31.1
260, 2018-03-02  04:12:23-05:00 ,31
261, 2018-03-02  04:22:25-05:00 ,31
262, 2018-03-02  04:32:27-05:00 ,30.9
263, 2018-03-02  04:42:29-05:00 ,30.9
264, 2018-03-02  04:52:31-05:00 ,30.8
265, 2018-03-02  05:02:32-05:00 ,30.8
266, 2018-03-02  05:12:34-05:00 ,30.8
267, 2018-03-02  05:22:36-05:00 ,30.8
268, 2018-03-02  05:32:38-05:00 ,30.7
269, 2018-03-02  05:42:39-05:00 ,30.6
270, 2018-03-02  05:52:41-05:00 ,30.5
271, 2018-03-02  06:02:43-05:00 ,30.4
272, 2018-03-02  06:12:45-05:00 ,30.1
273, 2018-03-02  06:22:46-05:00 ,30.1
274, 2018-03-02  06:32:48-05:00 ,30.1
275, 2018-03-02  06:42:50-05:00 ,30.1
276, 2018-03-02  06:52:52-05:00 ,30.1
277, 2018-03-02  07:02:53-05:00 ,30.1
278, 2018-03-02  07:12:55-05:00 ,29.9
279, 2018-03-02  07:22:57-05:00 ,29.9
280, 2018-03-02  07:32:59-05:00 ,29.9
281, 2018-03-02  07:43:00-05:00 ,30
282, 2018-03-02  07:53:02-05:00 ,29.9
283, 2018-03-02  08:03:04-05:00 ,30.1
284, 2018-03-02  08:13:06-05:00 ,30
285, 2018-03-02  08:23:07-05:00 ,29.9
286, 2018-03-02  08:33:09-05:00 ,29.9
287, 2018-03-02  08:43:11-05:00 ,29.9
288, 2018-03-02  08:53:13-05:00 ,29.9
289, 2018-03-02  09:03:15-05:00 ,30.1
290, 2018-03-02  09:13:16-05:00 ,30
291, 2018-03-02  09:23:18-05:00 ,30.1
292, 2018-03-02  09:33:20-05:00 ,29.9
293, 2018-03-02  09:43:22-05:00 ,30.1
294, 2018-03-02  09:53:23-05:00 ,30.3
295, 2018-03-02  10:03:25-05:00 ,30.2
296, 2018-03-02  10:13:27-05:00 ,30.1
297, 2018-03-02  10:23:29-05:00 ,30.4
298, 2018-03-02  10:33:30-05:00 ,30.4
299, 2018-03-02  10:43:32-05:00 ,30.3
300, 2018-03-02  10:53:34-05:00 ,30.6
301, 2018-03-02  11:03:36-05:00 ,30.6
302, 2018-03-02  11:13:37-05:00 ,30.6
303, 2018-03-02  11:23:39-05:00 ,30.6
304, 2018-03-02  11:33:41-05:00 ,31.2
305, 2018-03-02  11:43:43-05:00 ,31.2
306, 2018-03-02  11:53:45-05:00 ,31.4
307, 2018-03-02  12:03:46-05:00 ,31.6
308, 2018-03-02  12:13:48-05:00 ,31.6
309, 2018-03-02  12:23:50-05:00 ,31.7
310, 2018-03-02  12:33:52-05:00 ,31.6
311, 2018-03-02  12:43:53-05:00 ,31.7
312, 2018-03-02  12:53:56-05:00 ,31.6
313, 2018-03-02  13:03:58-05:00 ,31.8
314, 2018-03-02  13:13:59-05:00 ,31.9
315, 2018-03-02  13:24:01-05:00 ,32
316, 2018-03-02  13:34:03-05:00 ,32.1
317, 2018-03-02  13:44:05-05:00 ,32.2
318, 2018-03-02  13:54:07-05:00 ,32.3
319, 2018-03-02  14:04:08-05:00 ,32.4
320, 2018-03-02  14:14:10-05:00 ,32.4
321, 2018-03-02  14:24:12-05:00 ,32.3
322, 2018-03-02  14:34:14-05:00 ,32.4
323, 2018-03-02  14:44:15-05:00 ,32.6
324, 2018-03-02  14:54:17-05:00 ,32.6
325, 2018-03-02  15:04:19-05:00 ,32.7
326, 2018-03-02  15:14:21-05:00 ,32.7
327, 2018-03-02  15:24:22-05:00 ,32.9
328, 2018-03-02  15:34:24-05:00 ,32.9
329, 2018-03-02  15:44:26-05:00 ,32.8
330, 2018-03-02  15:54:28-05:00 ,32.9
331, 2018-03-02  16:04:29-05:00 ,32.8
332, 2018-03-02  16:14:31-05:00 ,32.8
333, 2018-03-02  16:24:33-05:00 ,33
334, 2018-03-02  16:34:35-05:00 ,32.5
335, 2018-03-02  16:44:37-05:00 ,32.8
336, 2018-03-02  16:54:38-05:00 ,31.9
337, 2018-03-02  17:04:40-05:00 ,32.4
338, 2018-03-02  17:14:42-05:00 ,32.3
339, 2018-03-02  17:24:44-05:00 ,31.8
340, 2018-03-02  17:34:45-05:00 ,32.5
341, 2018-03-02  17:44:47-05:00 ,31.8
342, 2018-03-02  17:54:49-05:00 ,31.7
343, 2018-03-02  18:04:51-05:00 ,31.8
344, 2018-03-02  18:14:52-05:00 ,31.4
345, 2018-03-02  18:24:54-05:00 ,31.4
346, 2018-03-02  18:34:56-05:00 ,31.2
347, 2018-03-02  18:44:58-05:00 ,31.4
348, 2018-03-02  18:54:59-05:00 ,32.6
349, 2018-03-02  19:05:01-05:00 ,32.9
350, 2018-03-02  19:15:03-05:00 ,32.9
351, 2018-03-02  19:25:05-05:00 ,32.8
352, 2018-03-02  19:35:06-05:00 ,32.8
353, 2018-03-02  19:45:08-05:00 ,34.1
354, 2018-03-02  19:55:10-05:00 ,34
355, 2018-03-02  20:05:12-05:00 ,33.8
356, 2018-03-02  20:15:13-05:00 ,33.9
357, 2018-03-02  20:25:15-05:00 ,33.6
358, 2018-03-02  20:35:17-05:00 ,33.4
359, 2018-03-02  20:45:19-05:00 ,33.3
360, 2018-03-02  20:55:21-05:00 ,33.3
361, 2018-03-02  21:05:22-05:00 ,33
362, 2018-03-02  21:15:24-05:00 ,32.9
363, 2018-03-02  21:25:26-05:00 ,32.8
364, 2018-03-02  21:35:28-05:00 ,32.7
365, 2018-03-02  21:45:29-05:00 ,32.7
366, 2018-03-02  21:55:31-05:00 ,32.8
367, 2018-03-02  22:05:33-05:00 ,32.8
368, 2018-03-02  22:15:35-05:00 ,32.6
369, 2018-03-02  22:25:37-05:00 ,32.6
370, 2018-03-02  22:35:38-05:00 ,32.4
371, 2018-03-02  22:45:40-05:00 ,32.4
372, 2018-03-02  22:55:42-05:00 ,32.4
373, 2018-03-02  23:05:44-05:00 ,32.3
374, 2018-03-02  23:15:45-05:00 ,32.3
375, 2018-03-02  23:25:47-05:00 ,32.2
376, 2018-03-02  23:35:49-05:00 ,32.1
377, 2018-03-02  23:45:51-05:00 ,32.1
378, 2018-03-02  23:55:52-05:00 ,32.1
379, 2018-03-03  00:05:54-05:00 ,31.9
380, 2018-03-03  00:15:56-05:00 ,31.9
381, 2018-03-03  00:25:58-05:00 ,31.9
382, 2018-03-03  00:35:59-05:00 ,31.8
383, 2018-03-03  00:46:01-05:00 ,31.8
384, 2018-03-03  00:56:03-05:00 ,31.7
385, 2018-03-03  01:06:05-05:00 ,31.7
386, 2018-03-03  01:16:06-05:00 ,31.6
387, 2018-03-03  01:26:08-05:00 ,31.5
388, 2018-03-03  01:36:10-05:00 ,31.4
389, 2018-03-03  01:46:12-05:00 ,31.4
390, 2018-03-03  01:56:13-05:00 ,31.4
391, 2018-03-03  02:06:15-05:00 ,31.3
392, 2018-03-03  02:16:17-05:00 ,31.3
393, 2018-03-03  02:26:19-05:00 ,31.3
394, 2018-03-03  02:36:21-05:00 ,31.2
395, 2018-03-03  02:46:22-05:00 ,31.1
396, 2018-03-03  02:56:24-05:00 ,31.1
397, 2018-03-03  03:06:26-05:00 ,31
398, 2018-03-03  03:16:28-05:00 ,31
399, 2018-03-03  03:26:29-05:00 ,30.9
400, 2018-03-03  03:36:31-05:00 ,30.9
401, 2018-03-03  03:46:33-05:00 ,30.8
402, 2018-03-03  03:56:35-05:00 ,30.8
403, 2018-03-03  04:06:36-05:00 ,30.8
404, 2018-03-03  04:16:38-05:00 ,30.8
405, 2018-03-03  04:26:40-05:00 ,30.7
406, 2018-03-03  04:36:42-05:00 ,30.7
407, 2018-03-03  04:46:43-05:00 ,30.6
408, 2018-03-03  04:56:45-05:00 ,30.6
409, 2018-03-03  05:06:47-05:00 ,30.6
410, 2018-03-03  05:16:49-05:00 ,30.5
411, 2018-03-03  05:26:50-05:00 ,30.4
412, 2018-03-03  05:36:52-05:00 ,30.4
413, 2018-03-03  05:46:54-05:00 ,30.4
414, 2018-03-03  05:56:56-05:00 ,30.4
415, 2018-03-03  06:06:57-05:00 ,30.3
416, 2018-03-03  06:16:59-05:00 ,30.2
417, 2018-03-03  06:27:01-05:00 ,30.2
418, 2018-03-03  06:37:03-05:00 ,30.2
419, 2018-03-03  06:47:05-05:00 ,30.1
420, 2018-03-03  06:57:06-05:00 ,30.1
421, 2018-03-03  07:07:08-05:00 ,30.1
422, 2018-03-03  07:17:10-05:00 ,30.1
423, 2018-03-03  07:27:12-05:00 ,29.9
424, 2018-03-03  07:37:13-05:00 ,29.8
425, 2018-03-03  07:47:15-05:00 ,29.9
426, 2018-03-03  07:57:17-05:00 ,29.3
427, 2018-03-03  08:07:19-05:00 ,29.3
428, 2018-03-03  08:17:20-05:00 ,29.3
429, 2018-03-03  08:27:22-05:00 ,29.3
430, 2018-03-03  08:37:24-05:00 ,29.1
431, 2018-03-03  08:47:26-05:00 ,29.4
432, 2018-03-03  08:57:27-05:00 ,29.5
433, 2018-03-03  09:07:29-05:00 ,29.5
434, 2018-03-03  09:17:31-05:00 ,29.4
435, 2018-03-03  09:27:33-05:00 ,29.6
436, 2018-03-03  09:37:34-05:00 ,29.7
437, 2018-03-03  09:47:36-05:00 ,29.3
438, 2018-03-03  09:57:38-05:00 ,29.4
439, 2018-03-03  10:07:40-05:00 ,29.5
440, 2018-03-03  10:17:41-05:00 ,29.6
441, 2018-03-03  10:27:43-05:00 ,29.5
442, 2018-03-03  10:37:45-05:00 ,30
443, 2018-03-03  10:47:47-05:00 ,30.1
444, 2018-03-03  10:57:49-05:00 ,30.4
445, 2018-03-03  11:07:50-05:00 ,30.3
446, 2018-03-03  11:17:52-05:00 ,30.4
447, 2018-03-03  11:27:54-05:00 ,30.4
448, 2018-03-03  11:37:56-05:00 ,31
449, 2018-03-03  11:47:57-05:00 ,31.3
450, 2018-03-03  11:57:59-05:00 ,31.4
451, 2018-03-03  12:08:01-05:00 ,31.5
452, 2018-03-03  12:18:03-05:00 ,31.6
453, 2018-03-03  12:28:04-05:00 ,31.7
454, 2018-03-03  12:38:06-05:00 ,31.6
455, 2018-03-03  12:48:08-05:00 ,31.6
456, 2018-03-03  12:58:10-05:00 ,31.8
457, 2018-03-03  13:08:11-05:00 ,31.6
458, 2018-03-03  13:18:13-05:00 ,32
459, 2018-03-03  13:28:15-05:00 ,32.1
460, 2018-03-03  13:38:17-05:00 ,32.4
461, 2018-03-03  13:51:10-05:00 ,32.1
462, 2018-03-03  14:01:12-05:00 ,32.3
463, 2018-03-03  14:23:00-05:00 ,32.4
464, 2018-03-03  14:33:02-05:00 ,32.6
465, 2018-03-03  14:43:04-05:00 ,31.9
466, 2018-03-03  14:53:06-05:00 ,32.6
467, 2018-03-03  15:03:08-05:00 ,32.8
468, 2018-03-03  15:13:09-05:00 ,32.6
469, 2018-03-03  15:23:11-05:00 ,32.3
470, 2018-03-03  15:33:13-05:00 ,32.3
471, 2018-03-03  15:43:15-05:00 ,32.9
472, 2018-03-03  15:53:16-05:00 ,32.9
473, 2018-03-03  16:03:18-05:00 ,33.1
474, 2018-03-03  16:13:20-05:00 ,32.9
475, 2018-03-03  16:23:22-05:00 ,32.8
476, 2018-03-03  16:33:23-05:00 ,33.1
477, 2018-03-03  16:43:25-05:00 ,33.5
478, 2018-03-03  16:53:27-05:00 ,33.4
479, 2018-03-03  17:03:29-05:00 ,33.1
480, 2018-03-03  17:13:30-05:00 ,32.7
481, 2018-03-03  17:23:32-05:00 ,32.7
482, 2018-03-03  17:33:35-05:00 ,33.6
483, 2018-03-03  17:43:37-05:00 ,32.8
484, 2018-03-03  17:53:38-05:00 ,33.3
485, 2018-03-03  18:03:40-05:00 ,33.1
486, 2018-03-03  18:13:42-05:00 ,32.4
487, 2018-03-03  18:23:44-05:00 ,32.9
488, 2018-03-03  18:33:45-05:00 ,32.8
489, 2018-03-03  18:43:47-05:00 ,32.8
490, 2018-03-03  18:53:49-05:00 ,32.1
491, 2018-03-03  19:03:51-05:00 ,32.7
492, 2018-03-03  19:13:52-05:00 ,32.9
493, 2018-03-03  19:23:54-05:00 ,33.1
494, 2018-03-03  19:33:56-05:00 ,32.8
495, 2018-03-03  19:43:58-05:00 ,33.1
496, 2018-03-03  19:53:59-05:00 ,33.1
497, 2018-03-03  20:04:01-05:00 ,33.2
498, 2018-03-03  20:14:03-05:00 ,33.2
499, 2018-03-03  20:24:05-05:00 ,33.4
500, 2018-03-03  20:34:07-05:00 ,33.3
501, 2018-03-03  20:44:08-05:00 ,33.2
502, 2018-03-03  20:54:10-05:00 ,33.3
503, 2018-03-03  21:04:12-05:00 ,33.3
504, 2018-03-03  21:14:14-05:00 ,33.4
505, 2018-03-03  21:24:15-05:00 ,33.2
506, 2018-03-03  21:34:17-05:00 ,32.8
507, 2018-03-03  21:44:19-05:00 ,32.8
508, 2018-03-03  21:54:21-05:00 ,32.9
509, 2018-03-03  22:04:22-05:00 ,32.9
510, 2018-03-03  22:14:24-05:00 ,32.9
511, 2018-03-03  22:24:26-05:00 ,32.8
512, 2018-03-03  22:34:28-05:00 ,32.8
513, 2018-03-03  22:44:29-05:00 ,32.6
514, 2018-03-03  22:54:31-05:00 ,32.6
515, 2018-03-03  23:04:33-05:00 ,32.7
516, 2018-03-03  23:14:35-05:00 ,32.6
517, 2018-03-03  23:24:37-05:00 ,32.3
518, 2018-03-03  23:34:38-05:00 ,32.4
519, 2018-03-03  23:44:40-05:00 ,32.3
520, 2018-03-03  23:54:42-05:00 ,32.4
521, 2018-03-04  00:04:44-05:00 ,32.4
522, 2018-03-04  00:14:45-05:00 ,32.3
523, 2018-03-04  00:24:47-05:00 ,32.3
524, 2018-03-04  00:34:49-05:00 ,32.3
525, 2018-03-04  00:44:51-05:00 ,32.1
526, 2018-03-04  00:54:52-05:00 ,32.1
527, 2018-03-04  01:04:54-05:00 ,32
528, 2018-03-04  01:14:56-05:00 ,32.1
529, 2018-03-04  01:24:58-05:00 ,32
530, 2018-03-04  01:34:59-05:00 ,31.9
531, 2018-03-04  01:45:01-05:00 ,31.9
532, 2018-03-04  01:55:03-05:00 ,31.9
